CaII,,,,,,,,,,
QSO,zem,zabs,gmag,W0a,e_W0a,W0b,e_W0b,Sloan,_RA,_DE
J001214.19-095922.9,1.262,0.6901,19.44,0.773,0.137,0.412,0.112,Sloan,3.05912,-9.98969
J001444.02-000018.5,1.55,0.0277,17.95,0.326,0.056,0.201,0.055,Sloan,3.68342,-0.00514
J002025.22+154054.6,2.023,0.0963,17.65,0.382,0.065,0.167,0.067,Sloan,5.10508,15.68183
J002940.02+010528.5,1.388,0.3732,17.83,0.302,0.059,0.213,0.06,Sloan,7.41675,1.09125
J004130.97+024222.5,2.308,0.7095,18.81,0.72,0.143,0.37,0.12,Sloan,10.37904,2.70625
J004800.50+022514.9,2.16,0.5982,18.96,0.594,0.101,0.297,0.096,Sloan,12.00208,2.42081
J005355.15-000309.3,1.703,1.2503,18.57,0.395,0.072,0.27,0.062,Sloan,13.47979,-0.05258
J005408.46-094638.1,2.125,0.4779,18.01,0.427,0.071,0.25,0.07,Sloan,13.53525,-9.77725
J010332.30+133233.6,1.663,1.0485,18.96,1.15,0.151,0.887,0.147,Sloan,15.88458,13.54267
J010759.23+092256.7,1.574,0.6048,18.89,1.126,0.125,0.753,0.096,Sloan,16.99679,9.38242
J012327.61+131947.4,2.1,0.2061,19.03,0.715,0.123,0.762,0.163,Sloan,20.86504,13.32983
J012412.47-010049.7,2.827,1.2942,18.65,0.233,0.037,0.244,0.034,Sloan,21.05196,-1.01381
J012412.47-010049.7,2.827,1.1321,18.65,0.243,0.043,0.18,0.054,Sloan,21.05196,-1.01381
J014354.48+115913.3,3.143,0.3233,19.4,0.459,0.088,0.359,0.08,Sloan,25.977,11.98703
J014717.77+125808.7,1.495,1.0388,18.39,0.484,0.065,0.253,0.062,Sloan,26.82404,12.96908
J015144.31+040248.7,0.414,0.3954,18.98,0.578,0.103,0.289,0.091,Sloan,27.93462,4.04686
J015318.19+000911.4,0.838,0.7717,17.83,0.519,0.069,0.375,0.07,Sloan,28.32579,0.15317
J015701.02+135503.2,0.96,0.4837,20.38,1.76,0.184,1.599,0.318,Sloan,29.25425,13.91756
J022015.14+025025.3,2.334,0.1005,19.38,0.698,0.107,0.534,0.111,Sloan,35.06308,2.84036
J022111.33-081308.7,1.84,0.789,19.08,0.657,0.118,0.366,0.099,Sloan,35.29721,-8.21908
J022322.73-005248.5,1.365,0.2992,18.94,0.281,0.051,0.137,0.054,Sloan,35.84471,-0.88014
J024736.85+035835.3,1.103,0.6155,19.71,0.472,0.094,0.478,0.08,Sloan,41.90354,3.97647
J025248.15+015303.6,2.645,0.4694,18.63,0.573,0.069,0.263,0.076,Sloan,43.20062,1.88433
J025316.45+010759.8,1.031,0.6317,19.11,0.783,0.138,0.518,0.149,Sloan,43.31854,1.13328
J072810.13+393027.9,2.725,1.078,19.35,0.451,0.085,0.306,0.086,Sloan,112.04221,39.50775
J072912.26+410551.4,0.103,0.0394,17.25,0.643,0.128,0.645,0.124,Sloan,112.30108,41.09761
J073128.46+290242.0,1.607,0.8228,19.04,1.109,0.134,0.678,0.147,Sloan,112.86858,29.045
J073306.63+462517.5,0.541,0.7735,18.23,0.428,0.065,0.234,0.085,Sloan,113.27762,46.42153
J073306.63+462517.5,0.541,0.307,18.23,0.66,0.116,0.347,0.122,Sloan,113.27762,46.42153
J074054.05+332006.5,0.886,0.4912,17.43,0.205,0.041,0.142,0.039,Sloan,115.22521,33.33514
J074356.39+434842.9,2.006,0.6127,18.78,0.818,0.143,0.521,0.113,Sloan,115.98496,43.81192
J074500.47+341731.1,3.688,0.5366,20.64,1.784,0.201,1.009,0.13,Sloan,116.25196,34.29197
